Trust Code,Trust Name,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
R1H,BARTS HEALTH NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,❌,❌,❌,❌,✅,✅,✅,✅,✅,✅,✅,✅
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RBK,WALSALL HEALTHCARE NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RCF,AIREDALE NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RH5,SOMERSET NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,❌,❌,❌,❌,❌,❌,❌,✅,✅,✅,✅,✅
RJ2,LEWISHAM AND GREENWICH NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RJ6,CROYDON HEALTH SERVICES NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RJN,EAST CHESHIRE NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
